sample_date,site_id,site_type,latitude,longitude,DIP,NH4,NO3,TDN,TN,TP,TN_uM,TP_uM,DIN_uM,NH4_uM,NO3_uM,DIP_uM,env
2022-04-05,TLR2,TonleSapOutlet,12.49236,104.5149,0.05324,2.860465116,0.225,505.4081633,1030.157534,530.7059,73.5474832758608,17.1340477509334,36.0833146494178,0.158575904816708,3.62879814205535,0.560589819672028,river
2022-04-05,TSR1,TonleSapOutlet,11.573535,104.931496666667,0.02,2.162790698,0.2262,383.2397959,384.7432432,55.5,27.468514582307,1.79183922804854,27.3611768582179,0.11989885489116,3.64815173214631,0.21058971437717,river
2022-04-06,PB1,TonleSapEdge,12.74339,104.2634,0.01831,41.93023256,0.08037,666.8792517,1007.738739,203.1471,71.9469067660477,6.55868365485225,47.6114467861809,2.32449070264313,1.29620669634217,0.192794883512299,edge
2022-04-06,TLC,TonleSapEdge,12.79577,104.307776666667,0.05812,41.57446809,0.1853,867.3894558,3528.009009,391.9706,251.880100880293,12.6549242760671,61.9267533251944,2.30476815038534,2.98851686987936,0.611973709980057,edge
2022-04-07,TSL1,TonleSapMiddle,12.619627,104.37738,,2.395348837,,353.7972973,1151.882883,582.4706,82.2379920323845,18.8052913561256,25.2591472152613,0.132791204847864,,,pelagic
2022-04-07,TSM1,TonleSapMiddle,12.8564201666667,104.120383333333,0.07139,3.558139535,0.02417,337.8061224,1132.288288,550.6471,80.8390475986492,17.7778571998409,24.1174668123113,0.197252954797693,0.389813560415457,0.75169998546931,pelagic
2022-04-08,SR1,TonleSapEdge,13.24718,103.6509,0.02,23.09302326,0.0881,406.3180272,177.4234234,44.3235,12.6670395881971,1.43100154998936,29.0088334297158,1.28021035387722,1.42087607251145,0.21058971437717,edge
2022-04-09,BLK1,TonleSapEdge,12.9766561666667,103.9972,0.01045,1,0.01,95.07653061,58.71171171,20.5,4.1916876716143,0.661850525675587,6.78793224742445,0.0554371049413309,0.161279917424682,0.110033125762072,edge
2022-04-09,DR1,TonleSapEdge,12.8826741666667,103.8494,0.02318,81,0.1661,1743.239796,2314.495495,369.4706,165.242026672949,11.9285029673988,124.457566450342,4.4904055002478,2.67885942842397,0.24407347896314,edge
2022-04-09,KP1,TonleSapEdge,13.1998903333333,103.9747,0.01153,75.02083333,0.01,732.6955782,355.036036,187.5588,25.3475862265916,6.05540928658938,52.3103641971342,4.15893781010131,0.161279917424682,0.121404970338439,edge
2022-04-09,TSU1,TonleSapMiddle,12.9775698333333,103.9975,0.08954,10.64583333,0.01,411.8738739,595.5765766,351.8235,42.5208347862095,11.3587594351232,29.4054897941699,0.590174179503128,0.161279917424682,0.942810151266592,pelagic
2022-09-27,BR1,MekongLower,11.464429,104.964801666667,0.02984,163.5581395,0.3008,367.8063063,477.4948718,139.2727,34.0904618361213,4.4964736442565,26.2593120649404,9.06718974347034,4.85129991613444,0.314199853850738,river
2022-09-27,MRD,MekongLower,11.544635,105.000811666667,,38.42857143,,300.463964,527.7769231,247.1515,37.6803189259426,7.97938293641512,21.4514456652888,2.13036874711034,,,river
2022-09-28,MRU,MekongLower,11.5884208333333,104.941081666667,0.01,10.66666667,0.2626,323.2567568,477.5461538,192.303,34.0941230839527,6.20857764092646,23.0787235251701,0.591329119558987,4.23521063157216,0.105294857188585,river
2022-09-28,TSR1,TonleSapOutlet,11.5725598333333,104.932106666667,0.04714,19.71428571,0.6776,449.3153153,341.9279279,94.5455,24.4117406598271,3.05243848172006,32.0785991918153,1.09290292574865,10.9283272046965,0.496359956786991,river
2022-09-29,TSR3,TonleSapOutlet,12.3139955,104.675025,0.02435,0.19047619,0.03329,228.9099099,327.3783784,83.6364,23.372984243255,2.70023391734701,16.3428866114074,0.0105594485338549,0.536900845106767,0.256392977254205,river
2022-09-29,TSR4,TonleSapOutlet,12.4418741666667,104.5999,0.01507,3.523809524,0.01,210.036036,43.85358333,43.0303,3.13090044978475,1.38925008170625,14.9953976311337,0.195349798375249,0.161279917424682,0.158679349783198,river
2022-09-30,PR1,TonleSapEdge,12.6900565,104.109116666667,0.01507,1.285714286,0.0953,225.9219219,423.2769231,249.0909,30.2196036968022,8.04199722468318,16.1295609886697,0.0712762777975503,1.53699761305722,0.158679349783198,edge
2022-09-30,PS1,TonleSapOutlet,12.5456216666667,104.458623333333,0.01844,74.47619048,0.01,254.2402402,368.5345345,75.1515,26.311303483333,2.42629559903946,18.1513304489994,4.12874438727031,0.161279917424682,0.194163716655751,river
2022-09-30,Pht1,TonleSapEdge,12.7473786666667,104.459723333333,0.01507,11.14285714,0.09226,354.2477477,1100.181818,130.9091,78.5468253050326,4.22645154393746,25.2913068531489,0.617727740616438,1.48796851816012,0.158679349783198,edge
2022-09-30,TSL1,TonleSapMiddle,12.6543773333333,104.355803333333,0.02857,18.28571429,0.0281,242.2582583,409.2,66.5455,29.2145901604232,2.1484475198217,17.2958839912328,1.01370706202192,0.453196567963357,0.300827406987788,pelagic
2022-10-01,TLC,TonleSapEdge,12.81551,104.3092,0.01507,8.19047619,0.01,311.4174174,1238.090909,33.2121,88.3927626778613,1.07226565091659,22.2334609436912,0.454056288064502,0.161279917424682,0.158679349783198,edge
2022-10-01,TSM1,TonleSapMiddle,12.806339,104.158836666667,0.01507,16.85714286,0.01,214.2252252,534.1615385,38.0606,38.1361447378755,1.22880137158674,15.2944822977575,0.934511197740827,0.161279917424682,0.158679349783198,pelagic
2022-10-02,MK1,TonleSapEdge,12.8947795,104.18979,0.01507,0.666666667,0.01,363.3018018,785.3989899,38.0606,56.0730928698409,1.22880137158674,25.9377156503673,0.0369580699793663,0.161279917424682,0.158679349783198,edge
2022-10-03,TSU1,TonleSapMiddle,13.0008053333333,103.952831666667,0.01507,16.38095238,0.1023,166.9054054,921.0454545,61.3939,65.7574913791257,1.982126096989,11.9161119607045,0.908112576129004,1.6498935552545,0.158679349783198,pelagic
2022-10-04,KK1,TonleSapEdge,13.0910141666667,104.0953,0.02688,4.476190476,0.01,348.3468468,2108.772727,275.9394,150.554572240428,8.90881155827347,24.8700155497012,0.248147041155398,0.161279917424682,0.283032576122917,edge
2022-10-05,KP1,TonleSapEdge,13.20685,103.9757,0.02,0.666666667,1.771,354.7882883,727.3333333,157.5758,51.9275299178251,5.08739639335372,25.3298984271813,0.0369580699793663,28.5626733759112,0.21058971437717,edge
2022-10-05,PK1,TonleSapEdge,13.0753,103.6974,0.01507,2.571428571,0.05906,204,266.8228228,58.1818,19.0496564358486,1.87842219096351,14.5644584377477,0.142552555539664,0.952519192310174,0.158679349783198,edge
2022-10-06,SR2,TonleSapEdge,13.3324715,103.429628333333,0.01507,7.333333333,0.3447,261.5675676,326.2747748,67.2727,23.2941931218631,2.17192545651786,18.6744606224164,0.406538769551281,5.5593187536288,0.158679349783198,edge
