date,depth,DIP,DIN,TP,TN,NO3,DSi,chla,DO,cond,env,dataset,DIN.DIP,TN.TP,season,lon,lat,region,water_level_m
2015-03-16,surface,0.692068053367347,10.792593279449,,,6.37247370257143,72.3654422577143,,,,pelagic,holtgrieve,15.5946994330055,,low,104.44922,12.57047,South,0.99
2015-03-16,surface,1.78396824489796,5.34438448979592,,,0.723996428571429,52.3451407285714,,,,edge,holtgrieve,2.99578454105365,,low,104.46111,12.57157,South,0.99
2015-03-16,surface,0.348091449795918,23.9481841234285,,,16.4594189268571,129.28,,,,river_tributary,holtgrieve,68.7985416977897,,low,104.48766,12.55004,South,0.99
2015-07-01,surface,0.369825352678183,16.6130423170997,,,9.50238910391929,153.78141625,,,,pelagic,holtgrieve,44.9213181216274,,rising,104.43185,12.57056,South,0.83
2015-07-01,surface,0.331896975468138,20.5676998673538,,,8.19372030526927,116.71471875,,,,edge,holtgrieve,61.9701334679027,,rising,104.43597,12.57097,South,0.83
2015-07-01,surface,0.0838425979097111,19.7187576618522,,,11.9475492472202,134.6327675,,,,river_tributary,holtgrieve,235.187818047898,,rising,104.4875,12.54992,South,0.83
2015-07-01,surface,0.779999410364349,3.2732804735085,,,0.451995618928727,312.02632125,,,,river_tributary,holtgrieve,4.19651659990294,,rising,103.64301,13.24963,North,0.83
2015-07-01,surface,0.407532694759762,40.0799502219916,,,36.8324109215997,318.7510375,,,,pelagic,holtgrieve,98.347815371276,,rising,103.72808,13.11546,North,0.83
2015-07-01,surface,0.548043414312672,6.84479879674844,,,1.87092933067209,291.75475,,,,pelagic,holtgrieve,12.4895192935268,,rising,103.72447,13.21238,North,0.83
2015-07-01,surface,1.00451664465089,9.25312234861373,,,1.25911159129046,284.96337625,,,,edge,holtgrieve,9.2115171987315,,rising,103.70573,13.21437,North,0.83
2015-07-01,surface,0.163358485484105,20.0780267936856,,,17.0930265792568,339.7635325,,,,pelagic,holtgrieve,122.907767748858,,rising,104.34802,12.73621,Central,0.83
2015-07-01,surface,0.14702913560749,71.0349748551459,,,66.0761538042096,286.33241875,,,,edge,holtgrieve,483.135363352617,,rising,104.34711,12.74375,Central,0.83
2015-07-01,surface,0.664135743213819,68.7423686473944,,,66.6091125625345,282.043265,,,,pelagic,holtgrieve,103.50650352704,,rising,104.08207,13.05032,North,0.83
2015-07-01,surface,0.525452948062128,44.9772347768327,,,39.3436615144724,344.88334125,,,,edge,holtgrieve,85.597073805959,,rising,104.08513,13.06011,North,0.83
2015-07-01,surface,0.551815321236754,30.1285617390768,,,24.7711163660473,299.9638775,,,,pelagic,holtgrieve,54.5989945903482,,rising,104.20988,12.69156,Central,0.83
2015-10-03,surface,0.0590948099173554,0.536982552066116,,,0,163.681795291736,,,,pelagic,holtgrieve,9.08679717926313,,high,104.46615,12.56804,South,5.19
2015-10-03,surface,0.188905747623967,4.86968086373967,,,3.6169687088843,142.400212969783,,,,floodplain,holtgrieve,25.7783626225772,,high,104.46304,12.54738,South,5.19
2015-10-03,surface,0.104892348347107,6.80684196074381,,,4.32589764669422,125.650028218802,,,,river_tributary,holtgrieve,64.893598703871,,high,104.48801,12.5505,South,5.19
2015-10-03,surface,0.142653580268595,3.11265257964876,,,0,242.177501768337,,,,river_tributary,holtgrieve,21.8196597224417,,high,103.64353,13.24953,North,5.19
2015-10-03,surface,0.083902528125,4.841064365625,,,4.39729845625,163.714632660938,,,,pelagic,holtgrieve,57.6986709913278,,high,104.35178,12.74111,Central,5.19
2015-10-03,surface,0.236185988042355,7.11340084207128,,,4.76421558858471,162.9589595379,,,,edge,holtgrieve,30.1177936127,,high,104.3491,12.74496,Central,5.19
2015-10-03,surface,0.25436076097624,1.8731301941374,,,0.515631886725207,165.072072875607,,,,floodplain,holtgrieve,7.3640689977035,,high,104.33594,12.75261,Central,5.19
2015-10-03,surface,0.360328806017562,2.80004371273244,,,0.29742280748967,168.355081507012,,,,floodplain,holtgrieve,7.77080173988635,,high,103.70524,13.09833,North,5.19
2015-10-03,surface,0.389904582257231,2.47922502626549,,,1.41059275542355,161.983202550297,,,,pelagic,holtgrieve,6.35854293353721,,high,103.70603,13.2437,North,5.19
2015-10-03,surface,0.220647160149793,8.07179687564566,,,5.15477934984504,183.778342760008,,,,edge,holtgrieve,36.5823737326412,,high,103.69694,13.24622,North,5.19
2015-10-03,surface,0.348162616967975,16.8971299120093,,,14.2805217737087,211.533823992962,,,,pelagic,holtgrieve,48.5322923499382,,high,104.08153,13.05977,North,5.19
2015-10-03,surface,0.0861164815082645,12.5898832639463,,,11.2663220766529,267.095394146849,,,,edge,holtgrieve,146.195978324289,,high,104.09254,13.06209,North,5.19
2015-10-03,surface,0.300768185123967,11.4219635603306,,,10.3945259338843,273.296251130579,,,,floodplain,holtgrieve,37.975969950488,,high,104.09339,13.06522,North,5.19
2015-10-03,surface,0.27348208357438,14.3147294459711,,,12.4170058626033,171.870121610279,,,,pelagic,holtgrieve,52.3424761830068,,high,104.20988,12.69156,Central,5.19
2016-09-01,surface,0.113281169860537,11.1812575488895,,,10.5531787760847,330.816431546991,,,,river_tributary,holtgrieve,98.7035847410029,,high,103.19714,13.0467,,4.44
